ParentSKU,Site_id,Year,Month,Category_id,Qty,Price,Net_sales,Discount,ATC,MRP,Pack_size,Pack_unit_id,Zone,Master_category,Size,Rank
F0033,CHENNAI,2018,6,0,989.0,6702.8,40998.0,0,40998.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,7,0,647.0,6702.8,26655.0,0,26655.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,8,0,436.0,6702.8,17828.0,0,17828.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,9,0,346.0,6702.8,15262.0,0,15262.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,10,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,11,0,395.0,6702.8,16780.0,0,16780.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,12,0,1287.0,6702.8,59829.0,0,59829.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,1,0,91.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,2,0,441.0,6702.8,19780.0,0,19780.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,3,0,419.0,6702.8,19150.0,0,19150.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,4,0,574.0,6702.8,26083.0,0,26083.0,6702.8,30.0,GM,South,3,30gm,4
F0033,CHENNAI,2019,5,0,444.0,6702.8,19668.0,0,19668.0,6702.8,30.0,GM,South,3,30gm,4
F0033,CHENNAI,2019,6,0,159.0,6702.8,7256.0,0,7256.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,7,0,350.0,6702.8,15922.0,0,15922.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,8,0,223.0,6702.8,11014.0,0,11014.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,9,0,282.0,6702.8,13953.0,0,13953.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,10,0,169.0,6702.8,7430.0,0,7430.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,11,0,276.0,6702.8,11669.0,0,11669.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2019,12,0,241.0,6702.8,10236.0,0,10236.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2020,1,0,156.0,6702.8,7448.0,0,7448.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2020,2,0,328.0,6702.8,15353.0,0,15353.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,DEHRADUN,2017,4,0,576.0,6702.8,28950.0,0,33148.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2017,5,0,1008.0,6702.8,45456.0,0,52047.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2017,6,0,962.0,6702.8,42823.0,0,49032.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2017,7,0,1144.0,6702.8,45799.0,0,45799.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2017,8,0,910.0,6702.8,35275.0,0,35275.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2017,9,0,1014.0,6702.8,39113.0,0,39113.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2017,12,0,1287.0,6702.8,60205.0,0,60205.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,1,0,1287.0,6702.8,61550.0,0,61550.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,2,0,1287.0,6702.8,73487.0,0,73487.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,3,0,1287.0,6702.8,84605.0,0,84605.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,4,0,1287.0,6702.8,64739.0,0,64739.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,5,0,377.0,6702.8,16375.0,0,16375.0,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,6,0,1287.0,6702.8,148929.6,0,148929.6,6702.8,30.0,GM,North,3,30gm,4
F0033,DEHRADUN,2018,7,0,1287.0,6702.8,64141.0,0,64141.0,6702.8,30.0,GM,North,3,30gm,4
